time,open,high,low,close,tick_volume,spread,real_volume
2024-10-29 11:45:00,2752.51,2753.36,2750.02,2752.4,5473,25,0
2024-10-29 12:00:00,2752.41,2753.12,2749.7,2749.86,7040,25,0
2024-10-29 12:15:00,2749.86,2750.69,2747.33,2749.18,7850,25,0
2024-10-29 12:30:00,2749.17,2749.69,2748.24,2749.53,7997,25,0
2024-10-29 12:45:00,2749.52,2751.19,2749.05,2749.86,6163,25,0
2024-10-29 13:00:00,2749.86,2751.08,2749.77,2751.07,5917,25,0
2024-10-29 13:15:00,2751.06,2751.31,2746.26,2747.84,8182,25,0
2024-10-29 13:30:00,2747.85,2751.73,2747.83,2750.36,7902,25,0
2024-10-29 13:45:00,2750.34,2753.28,2749.6,2751.76,10463,25,0
2024-10-29 14:00:00,2751.76,2753.78,2751.12,2753.03,7331,25,0
2024-10-29 14:15:00,2753.04,2753.32,2749.02,2751.59,8602,25,0
2024-10-29 14:30:00,2751.58,2752.58,2749.49,2752.02,10334,25,0
2024-10-29 14:45:00,2752.02,2753.38,2748.9,2749.09,9449,25,0
2024-10-29 15:00:00,2749.08,2755.98,2748.18,2755.44,14089,25,0
2024-10-29 15:15:00,2755.44,2757.25,2753.73,2755.07,13277,25,0
2024-10-29 15:30:00,2755.08,2760.85,2752.43,2760.57,19607,25,0
2024-10-29 15:45:00,2760.58,2763.93,2760.08,2760.29,16831,25,0
2024-10-29 16:00:00,2760.31,2766.65,2760.29,2765.96,25407,25,0
2024-10-29 16:15:00,2766.0,2771.66,2765.78,2768.51,17120,25,0
2024-10-29 16:30:00,2768.51,2770.7,2765.06,2769.12,16306,25,0
2024-10-29 16:45:00,2769.12,2769.75,2766.08,2769.51,15079,25,0
2024-10-29 17:00:00,2769.51,2770.41,2766.23,2766.91,15689,25,0
2024-10-29 17:15:00,2766.92,2767.33,2760.8,2760.88,12280,25,0
2024-10-29 17:30:00,2760.89,2765.15,2760.78,2763.6,13984,25,0
2024-10-29 17:45:00,2763.61,2764.98,2762.3,2764.18,12487,25,0
2024-10-29 18:00:00,2764.17,2768.57,2764.09,2768.15,10565,25,0
2024-10-29 18:15:00,2768.15,2770.18,2767.97,2768.65,8492,25,0
2024-10-29 18:30:00,2768.64,2768.64,2764.37,2765.51,8412,25,0
2024-10-29 18:45:00,2765.51,2769.33,2765.12,2769.33,6124,25,0
2024-10-29 19:00:00,2769.33,2772.48,2769.23,2770.77,9144,25,0
2024-10-29 19:15:00,2770.77,2770.96,2766.21,2768.55,9560,25,0
2024-10-29 19:30:00,2768.56,2769.52,2767.6,2768.83,3977,25,0
2024-10-29 19:45:00,2768.84,2770.36,2768.55,2769.74,4050,25,0
2024-10-29 20:00:00,2769.74,2769.97,2768.17,2769.2,4371,25,0
2024-10-29 20:15:00,2769.2,2772.71,2768.87,2772.25,4745,25,0
2024-10-29 20:30:00,2772.25,2773.46,2771.89,2772.3,5200,25,0
2024-10-29 20:45:00,2772.31,2773.41,2772.02,2772.89,4490,25,0
2024-10-29 21:00:00,2772.89,2774.73,2772.6,2773.42,4509,25,0
2024-10-29 21:15:00,2773.43,2773.64,2771.84,2772.24,3612,25,0
2024-10-29 21:30:00,2772.24,2772.4,2770.94,2772.39,3245,25,0
2024-10-29 21:45:00,2772.39,2772.99,2772.0,2772.12,3854,25,0
2024-10-29 22:00:00,2772.12,2773.1,2771.9,2772.35,2611,25,0
2024-10-29 22:15:00,2772.34,2772.68,2771.95,2772.03,1117,25,0
2024-10-29 22:30:00,2772.06,2773.71,2771.78,2773.64,988,25,0
2024-10-29 22:45:00,2773.63,2774.67,2772.32,2772.32,2720,25,0
2024-10-30 00:00:00,2773.45,2773.7,2772.48,2773.22,493,26,0
2024-10-30 00:15:00,2773.16,2775.28,2772.82,2774.49,601,25,0
2024-10-30 00:30:00,2774.48,2775.02,2774.35,2774.59,545,25,0
2024-10-30 00:45:00,2774.58,2775.05,2774.43,2774.55,344,25,0
2024-10-30 01:00:00,2774.56,2774.63,2773.53,2774.21,1450,25,0
2024-10-30 01:15:00,2774.22,2774.74,2773.48,2773.57,1394,25,0
